Период;Число запросов;Доля от всех запросов, %;Динамика частотности запросов «жумуш», по месяцам, 31.12.2017 — 30.01.2025, Курганская область, все устройства
декабрь 2017;4;0,0000136;
январь 2018;0;0;
февраль 2018;0;0;
март 2018;3;0,0000105;
апрель 2018;0;0;
май 2018;2;0,0000078;
июнь 2018;4;0,0000162;
июль 2018;0;0;
август 2018;0;0;
сентябрь 2018;1;0,0000030;
октябрь 2018;26;0,0000861;
ноябрь 2018;2;0,0000064;
декабрь 2018;0;0;
январь 2019;0;0;
февраль 2019;0;0;
март 2019;0;0;
апрель 2019;0;0;
май 2019;4;0,0000155;
июнь 2019;0;0;
июль 2019;0;0;
август 2019;0;0;
сентябрь 2019;0;0;
октябрь 2019;0;0;
ноябрь 2019;3;0,0000090;
декабрь 2019;0;0;
январь 2020;0;0;
февраль 2020;0;0;
март 2020;0;0;
апрель 2020;3;0,0000075;
май 2020;0;0;
июнь 2020;0;0;
июль 2020;0;0;
август 2020;0;0;
сентябрь 2020;0;0;
октябрь 2020;1;0,0000019;
ноябрь 2020;0;0;
декабрь 2020;0;0;
январь 2021;0;0;
февраль 2021;0;0;
март 2021;6;0,0000155;
апрель 2021;1;0,0000026;
май 2021;1;0,0000026;
июнь 2021;4;0,0000114;
июль 2021;1;0,0000024;
август 2021;4;0,0000098;
сентябрь 2021;0;0;
октябрь 2021;0;0;
ноябрь 2021;0;0;
декабрь 2021;0;0;
январь 2022;0;0;
февраль 2022;0;0;
март 2022;8;0,0000177;
апрель 2022;1;0,0000022;
май 2022;0;0;
июнь 2022;1;0,0000025;
июль 2022;0;0;
август 2022;0;0;
сентябрь 2022;0;0;
октябрь 2022;0;0;
ноябрь 2022;1;0,0000020;
декабрь 2022;0;0;
январь 2023;1;0,0000022;
февраль 2023;3;0,0000061;
март 2023;0;0;
апрель 2023;0;0;
май 2023;0;0;
июнь 2023;0;0;
июль 2023;0;0;
август 2023;0;0;
сентябрь 2023;0;0;
октябрь 2023;0;0;
ноябрь 2023;0;0;
декабрь 2023;0;0;
январь 2024;0;0;
февраль 2024;0;0;
март 2024;0;0;
апрель 2024;0;0;
май 2024;0;0;
июнь 2024;0;0;
июль 2024;0;0;
август 2024;0;0;
сентябрь 2024;0;0;
октябрь 2024;0;0;
ноябрь 2024;0;0;
декабрь 2024;0;0;
